Designator,Mid X,Mid Y,Rotation,Layer
C1,65.8,-105.3,0.0,top
D1,68.8,-100.2,270.0,top
J1,60.1204,-78.92,180.0,top
J2,75.9036,-53.9272,180.0,top
J3,99.0,-89.0,90.0,top
J4,99.0,-68.0,90.0,top
J5,75.908,-93.3172,180.0,top
J6,65.748,-53.8564,0.0,top
J7,86.068,-53.8564,0.0,top
J8,93.69,-53.77,0.0,top
Q1,59.6,-60.7,0.0,top
Q2,59.4,-104.6,0.0,top
Q3,59.6,-56.6,0.0,top
Q4,59.4,-100.8,0.0,top
Q5,59.6,-52.4,0.0,top
Q6,59.3,-97.0,0.0,top
R1,51.6,-97.0,90.0,top
R10,62.4,-104.6,270.0,top
R11,62.4,-100.8,270.0,top
R12,91.6,-100.4,90.0,top
R13,62.4,-97.0,270.0,top
R14,62.6,-60.7,270.0,top
R15,62.6,-56.6,270.0,top
R16,62.6,-52.4,270.0,top
R17,69.0,-104.5,90.0,top
R18,94.4,-100.4,270.0,top
R2,53.9,-97.0,90.0,top
R3,77.178,-60.8668,90.0,top
R4,74.13,-60.8668,90.0,top
R5,56.2,-97.0,90.0,top
R6,56.2,-60.7,270.0,top
R7,53.9,-60.7,270.0,top
R8,51.6,-60.7,270.0,top
R9,83.2,-101.9,90.0,top
U1,92.4,-104.6,90.0,top
U3,76.1,-101.9,270.0,top
