Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100nF, C49678
D1,D_SOD-123,1,1N4148W,C81598
J1,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Joystick,C141880
J3,din-5,1,MIDI OUT,C2939346
J4,din-5,1,MIDI IN,C2939346
J5,PinSocket_2x06_P2.54mm_Horizontal,1,Conn_02x06_Odd_Even,C5333437
"J6, J7",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20_Socket, C5224030
J8,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Pin, C706894
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,BSS123,C79015
"R1, R10, R11, R13, R14, R15, R16, R2, R5, R6, R7, R8",0805,12,10k,C17414
"R12, R18",0805,2,47, C17714
R17,0805,1,220, C17557
R9,0805,1,270, C17590
U1,SOT-23-6,1,74LVC2G14,C5375976
U3,SMDIP-6_W9.53mm,1,H11L1S,C78589
