Designator,Mid X,Mid Y,Rotation,Layer
C1,87.692,-88.9,0.0,top
D1,90.692,-83.8,270.0,top
J1,81.682069,-62.57,180.0,top
J3,120.892,-72.6,90.0,top
J4,120.892,-51.6,90.0,top
J5,97.825,-77.2922,180.0,top
J6,87.615,-61.5564,0.0,top
J7,107.935,-61.5564,0.0,top
J8,115.592,-37.375,0.0,top
Q1,81.492,-44.3,180.0,top
Q2,81.292,-88.2,180.0,top
Q3,81.492,-40.2,180.0,top
Q4,81.292,-84.4,180.0,top
Q5,81.492,-36.0,180.0,top
Q6,81.192,-80.6,180.0,top
R1,73.492,-80.6,90.0,top
R10,84.292,-88.2,270.0,top
R11,84.292,-84.4,270.0,top
R12,113.492,-84.0,90.0,top
R13,84.292,-80.6,270.0,top
R14,84.492,-44.3,270.0,top
R15,84.492,-40.2,270.0,top
R16,84.492,-36.0,270.0,top
R17,90.892,-88.1,90.0,top
R18,116.292,-84.0,270.0,top
R2,75.792,-80.6,90.0,top
R5,78.092,-80.6,90.0,top
R6,78.092,-44.3,270.0,top
R7,75.792,-44.3,270.0,top
R8,73.492,-44.3,270.0,top
R9,105.092,-85.5,90.0,top
U1,114.292,-88.2,270.0,top
U3,97.992,-85.5,270.0,top
