Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C5, C6, C9",0402,7,100nF,C1525
"C16, C17, C4, C8",0402,4,1uF,C52923
"C2, C3",0402,2,22pF,C1555
C7,0402,1,10uF,C15525
D4,0805,1,green,C2297
"F1, F2",1206,2,500mA,C70076
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J5,USB_A_Molex_67643_Horizontal,1,USB_A,C2346
"R1, R2, R7",0402,3,1k,C11702
R13,0402,1,560,C163460
"R3, R4",0402,2,5k1,C25905
"R5, R6",0603,2,27R,C25190
"R8, R9",0603,2,22,C1203
SW1,SW_SPST_TL3342,1,SW_Push,
TNL1,PinSocket_1x20_P2.54mm_Vertical,1,LEFT,C5224030
TNR1,PinSocket_1x20_P2.54mm_Vertical,1,RIGHT,C5224030
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C131025
U2,SOT-23-6,1,USBLC6-2SC6,C2827654
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
