Designator,Mid X,Mid Y,Rotation,Layer
C1,190.627,-33.528,0.0,top
C10,203.2,-60.0,180.0,top
C11,201.1,-54.7,90.0,top
C12,191.897,-62.3,180.0,top
C16,204.47,-43.18,180.0,top
C17,203.8,-52.07,0.0,top
C2,197.485,-50.8,90.0,top
C3,200.025,-50.8,90.0,top
C4,199.898,-54.7,90.0,top
C5,196.85,-53.82,90.0,top
C6,196.2,-66.8,180.0,top
C7,203.8,-50.8,180.0,top
C8,190.1,-57.7,180.0,top
C9,203.79,-57.523357,0.0,top
D4,204.75,-32.25,270.0,top
F1,204.47,-39.37,270.0,top
F2,203.835,-65.151,90.0,top
J1,197.993,-32.5,180.0,top
J5,197.5,-75.345,0.0,top
R1,190.754,-35.814,0.0,top
R13,204.76,-34.75,180.0,top
R2,200.025,-66.548,180.0,top
R3,201.93,-40.005,270.0,top
R4,196.85,-40.005,270.0,top
R5,196.85,-43.815,270.0,top
R6,201.93,-43.815,270.0,top
R7,198.755,-50.8,270.0,top
R8,190.7,-65.4,90.0,top
R9,192.3,-65.4,90.0,top
SW1,192.405,-42.037,270.0,top
TNL1,207.675,-57.39,180.0,top
TNR1,187.228,-57.39,180.0,top
U1,192.405,-51.562,0.0,top
U2,199.39,-41.513125,270.0,top
U3,197.313,-60.984107,0.0,top
U4,203.835,-47.622125,270.0,top
Y1,198.755,-47.625,180.0,top
